"toolid","moduleid","recipeid","lotid","carrierid","slotno","waferid","recipestepno","sdate","edate"
tesla_sensor,model_3,tesla_recipe.125,Battery,CHAdeMo,5,"05",5,2024-01-04 14:01:35.920,2024-01-04 14:01:36.930
tesla_sensor,model_3,tesla_recipe.125,Battery,CHAdeMo,5,"05",6,2024-01-04 14:01:36.930,2024-01-04 14:02:01.970
tesla_sensor,model_3,tesla_recipe.125,Battery,CHAdeMo,5,"05",7,2024-01-04 14:02:01.970,2024-01-04 14:02:03.020
tesla_sensor,model_3,tesla_recipe.125,Battery,CHAdeMo,5,"05",8,2024-01-04 14:02:03.020,2024-01-04 14:02:08.050
tesla_sensor,model_3,tesla_recipe.125,Battery,CHAdeMo,5,"05",9,2024-01-04 14:02:08.050,2024-01-04 14:02:11.230
tesla_sensor,model_3,tesla_recipe.125,Battery,CHAdeMo,5,"05",10,2024-01-04 14:02:11.230,2024-01-04 14:02:21.240
tesla_sensor,model_3,tesla_recipe.126,Battery,CHAdeMo,6,"06",1,2024-01-04 14:04:53.970,2024-01-04 14:05:01.000
tesla_sensor,model_3,tesla_recipe.126,Battery,CHAdeMo,6,"06",2,2024-01-04 14:05:01.000,2024-01-04 14:05:06.010
tesla_sensor,model_3,tesla_recipe.126,Battery,CHAdeMo,6,"06",3,2024-01-04 14:05:06.010,2024-01-04 14:05:16.020
tesla_sensor,model_3,tesla_recipe.126,Battery,CHAdeMo,6,"06",4,2024-01-04 14:05:16.020,2024-01-04 14:05:17.060
tesla_sensor,model_3,tesla_recipe.126,Battery,CHAdeMo,6,"06",5,2024-01-04 14:05:17.060,2024-01-04 14:05:18.070
tesla_sensor,model_3,tesla_recipe.126,Battery,CHAdeMo,6,"06",6,2024-01-04 14:05:18.070,2024-01-04 14:06:08.110
tesla_sensor,model_3,tesla_recipe.126,Battery,CHAdeMo,6,"06",7,2024-01-04 14:06:08.110,2024-01-04 14:06:09.150
tesla_sensor,model_3,tesla_recipe.126,Battery,CHAdeMo,6,"06",8,2024-01-04 14:06:09.150,2024-01-04 14:06:14.180
tesla_sensor,model_3,tesla_recipe.126,Battery,CHAdeMo,6,"06",9,2024-01-04 14:06:14.180,2024-01-04 14:06:17.360
tesla_sensor,model_3,tesla_recipe.126,Battery,CHAdeMo,6,"06",10,2024-01-04 14:06:17.360,2024-01-04 14:06:27.370
tesla_sensor,model_3,tesla_recipe.127,Battery,CHAdeMo,7,"07",1,2024-01-04 14:09:09.560,2024-01-04 14:09:16.610
tesla_sensor,model_3,tesla_recipe.127,Battery,CHAdeMo,7,"07",2,2024-01-04 14:09:16.610,2024-01-04 14:09:21.620
tesla_sensor,model_3,tesla_recipe.127,Battery,CHAdeMo,7,"07",3,2024-01-04 14:09:21.620,2024-01-04 14:09:31.630
tesla_sensor,model_3,tesla_recipe.127,Battery,CHAdeMo,7,"07",4,2024-01-04 14:09:31.630,2024-01-04 14:09:32.680
tesla_sensor,model_3,tesla_recipe.127,Battery,CHAdeMo,7,"07",5,2024-01-04 14:09:32.680,2024-01-04 14:09:33.690
tesla_sensor,model_3,tesla_recipe.127,Battery,CHAdeMo,7,"07",6,2024-01-04 14:09:33.690,2024-01-04 14:09:58.730
tesla_sensor,model_3,tesla_recipe.127,Battery,CHAdeMo,7,"07",7,2024-01-04 14:09:58.730,2024-01-04 14:09:59.780
tesla_sensor,model_3,tesla_recipe.127,Battery,CHAdeMo,7,"07",8,2024-01-04 14:09:59.780,2024-01-04 14:10:04.810
tesla_sensor,model_3,tesla_recipe.127,Battery,CHAdeMo,7,"07",9,2024-01-04 14:10:04.810,2024-01-04 14:10:07.990
tesla_sensor,model_3,tesla_recipe.127,Battery,CHAdeMo,7,"07",10,2024-01-04 14:10:07.990,2024-01-04 14:10:18.000
tesla_sensor,model_3,tesla_recipe.128,Battery,CHAdeMo,8,"08",1,2024-01-04 14:12:50.750,2024-01-04 14:12:57.770
tesla_sensor,model_3,tesla_recipe.128,Battery,CHAdeMo,8,"08",2,2024-01-04 14:12:57.770,2024-01-04 14:13:02.780
