"time","toolid","moduleid","type","event","action","caller","recipeid","recipestepno","acttime","lotid","carrierid","slotno","waferid","message","uuid"
2024-01-04 14:09:58.770,tesla_sensor,model_3,D,RF2 PS,COMPLETE,SPT PROCESS,F2_EUNO-7,0,0,Battery,CHAdeMo,7,"07","00.0Sec","42b6025a-ce4c-4725-a931-28526b3beb2d"
2024-01-04 14:09:58.770,tesla_sensor,model_3,D,PRCS1 PS,COMPLETE,SPT PROCESS,F2_EUNO-7,0,0,Battery,CHAdeMo,7,"07","00.0Sec",e8a352eb-3568-4302-a51b-0bf78f90c1b8
2024-01-04 14:09:58.790,tesla_sensor,model_3,D,SHIELD,UP,SPT PROCESS,F2_EUNO-7,0,0,Battery,CHAdeMo,7,"07","","09b47e16-2ddd-454b-8ab0-6da0d08fa0e3"
2024-01-04 14:10:18.020,tesla_sensor,model_3,D,MFC2 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,Battery,"",0,"","",cc2a1a1b-dc3d-4bf8-ad13-a69f8e0b6a7f
2024-01-04 14:10:18.020,tesla_sensor,model_3,D,GAS2 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,Battery,"",0,"","","9ffbbccf-16ce-4dac-9db6-4427c879a9b8"
2024-01-04 14:10:18.020,tesla_sensor,model_3,D,MFC3 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,Battery,"",0,"","","02d3acfb-ede5-41e8-bdad-87137986786d"
2024-01-04 14:10:18.020,tesla_sensor,model_3,D,GAS3 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,Battery,"",0,"","","765d9c05-ec97-4b3d-9e38-3966dc9957c0"
2024-01-04 14:10:18.030,tesla_sensor,model_3,D,PRCS1 PS,AUTO EXIT,SPT PROCESS,"",0,0,Battery,"",0,"","",bae50721-efe9-4fec-9965-dd150851786c
2024-01-04 14:10:18.030,tesla_sensor,model_3,D,PRCS TRIGGER,AUTO EXIT,SPT PROCESS,"",0,0,Battery,"",0,"","",ed08d2b2-4040-4123-b54c-e2eeeb358fcd
2024-01-04 14:10:18.080,tesla_sensor,model_3,D,PRCS1 PS,AUTO EXIT,PROCESS,"",0,0,Battery,"",0,"","",d3542de3-23ad-44ee-a6bf-d37c48d5a489
2024-01-04 14:12:57.790,tesla_sensor,model_3,D,ASST CTRL,ON,ASST GAS CTRL,F2_EUNO-8,0,0,Battery,CHAdeMo,8,"08","","93e34beb-80ad-4007-8fbb-4386e2064a61"
2024-01-04 14:12:57.790,tesla_sensor,model_3,D,ASST CTRL,COMPLETE,ASST GAS CTRL,F2_EUNO-8,0,0,Battery,CHAdeMo,8,"08","00.0Sec","5915c1bc-33ed-459c-aebf-b48b31672de0"
2024-01-04 14:13:02.780,tesla_sensor,model_3,R,STEP,R-STEP END,SPT PROCESS,F2_EUNO-8,2,0,Battery,CHAdeMo,8,"08",STEP02,"11b46232-8d50-4dd3-80d6-f411ed166d39"
2024-01-04 14:13:02.780,tesla_sensor,model_3,R,STEP,R-STEP START,SPT PROCESS,F2_EUNO-8,3,0,Battery,CHAdeMo,8,"08",STEP03,c5da52be-0473-4bf2-a988-6c0babaf8c37
2024-01-04 14:13:02.790,tesla_sensor,model_3,D,PRCS1 PS,AUTO EXIT,SPT PROCESS,"",0,0,"","",0,"","",c28051fa-ae39-49a2-80e7-863631753594
2024-01-04 14:13:02.790,tesla_sensor,model_3,D,RF2 PS,AUTO EXIT,SPT PROCESS,"",0,0,"","",0,"","","3107679c-e8e5-4543-8af9-aab0f81e68f9"
2024-01-04 14:14:34.140,tesla_sensor,model_3,D,MAGNET,COMPLETE,END PRCS,"",0,400,"","",0,"","00.4Sec","29ed8af4-7e39-4857-babb-3471b72c45ea"
2024-01-04 16:27:14.320,tesla_sensor,model_3,D,ESC,AUTO EXIT,ESC CONTROL,"",0,0,Air Filter,"",0,"","","8c00838b-5a9f-472a-8f11-0d9a55939b13"
2024-01-04 14:13:12.790,tesla_sensor,model_3,R,STEP,R-STEP END,SPT PROCESS,F2_EUNO-8,3,0,Battery,CHAdeMo,8,"08",STEP03,f9d1c9f0-f853-43bb-b308-f5ccab02ac81
2024-01-04 14:14:05.950,tesla_sensor,model_3,D,MFC2 MVC,COMPLETE,SPT PROCESS,F2_EUNO-8,0,0,Battery,CHAdeMo,8,"08","00.0Sec","906f2770-b31b-41ba-9987-b8dea199570b"
2024-01-04 14:14:05.950,tesla_sensor,model_3,D,MFC3 MVC,AUTO EXIT,SPT PROCESS,"",0,0,Battery,"",0,"","",fd8c90a7-c6f3-42aa-b29d-b18735996379
2024-01-04 14:14:05.960,tesla_sensor,model_3,D,ASST CTRLV,CLOSE,ASST GAS OUT,F2_EUNO-8,0,0,Battery,CHAdeMo,8,"08","","311fbe52-3332-4353-86fc-618f5de0e131"
2024-01-04 14:14:05.960,tesla_sensor,model_3,D,MFC1 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,Battery,"",0,"","","4cace9bd-0702-4075-9a7e-21f3acb4e4a2"
2024-01-04 14:14:24.250,tesla_sensor,model_3,D,SHIELD,AUTO EXIT,PROCESS,"",0,0,Battery,"",0,"","",b1198e7f-8a19-4590-91f9-12b479abb00c
2024-01-04 14:14:27.530,tesla_sensor,model_3,D,LIFTER,COMPLETE,UNLOAD,"",0,3200,Battery,CHAdeMo,8,"08","03.2Sec","9a8d933a-8b82-4096-92ba-cfd5faaed0ef"
2024-01-04 14:19:47.370,tesla_sensor,model_3,D,MAGNET,ON,MAG POS CONTROL,"",0,0,"","",0,"","",da039823-57d3-4d15-bccc-20733de7d4a5
2024-01-04 14:19:47.370,tesla_sensor,model_3,D,ASST LINE PUMP,CLOSE,PROCESS,"",0,0,"","",0,"","","67ad1b95-523b-4666-8c31-e27d1c0bcd3e"
2024-01-04 14:19:47.370,tesla_sensor,model_3,D,ASST LINE PUMP,COMPLETE,PROCESS,"",0,0,"","",0,"","00.0Sec","94dcde1e-bf8a-4a1c-b078-00ad53979eb6"
2024-01-04 14:19:48.390,tesla_sensor,model_3,D,MAGNET,COMPLETE,MAG POS CONTROL,"",0,1000,"","",0,"","01.0Sec","5e2b24b7-0528-42d3-9ccd-219cabf0477f"
2024-01-04 14:23:17.400,tesla_sensor,model_3,D,MFC2 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,"","",0,"","",f3931723-e2c3-45a6-9747-314ddb488258
2024-01-04 14:23:17.400,tesla_sensor,model_3,D,GAS2 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,"","",0,"","","1b93e146-2b3b-48a2-a2d5-2657eafc9f55"
2024-01-04 14:23:17.400,tesla_sensor,model_3,D,MFC3 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,"","",0,"","","4f5b14be-a853-4107-b245-256b721c2ec4"
2024-01-04 14:23:17.400,tesla_sensor,model_3,D,GAS3 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,"","",0,"","","63ee8da0-37cb-4e0f-9796-6e3130500c42"
2024-01-04 14:34:45.810,tesla_sensor,model_3,S,PUMP ROUGH,STEP END,"","",0,0,"","",0,"","",df3c7a09-2c9c-43f1-89a2-76f75ba70d94
2024-01-04 14:34:49.980,tesla_sensor,model_3,D,CTHD WTR OUTV,AUTO EXIT,SETUP,"",0,0,"","",0,"","",ad3b04bd-795b-43bb-a226-a5177e1ad4a3
2024-01-04 14:34:49.980,tesla_sensor,model_3,D,PRCS1 VOLT,AUTO EXIT,SETUP,"",0,0,"","",0,"","",dc048637-6ed0-4798-8dcf-b3ec1c18439c
2024-01-04 14:34:49.980,tesla_sensor,model_3,D,PRCS1 CURR,AUTO EXIT,SETUP,"",0,0,"","",0,"","","767c0aa0-b271-4299-9ee2-1da402d9e87f"
2024-01-04 14:38:56.110,tesla_sensor,model_3,D,GAS3 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","1617f567-a0ff-4c2b-9921-d214139d2bfc"
2024-01-04 14:38:56.120,tesla_sensor,model_3,D,ESC MINUS,COMPLETE,ESC CONTROL,F2_EUNO-9,0,0,Wiper Blades,CHAdeMo,9,"09","00.0Sec","400e518c-ae35-4036-861a-da29b76799fd"
2024-01-04 14:38:56.120,tesla_sensor,model_3,D,MFC2 IAC,ON,SPT PROCESS,F2_EUNO-9,0,0,Wiper Blades,CHAdeMo,9,"09","",cd79261a-d233-4de1-bcd4-97d0f83dc92e
2024-01-04 14:38:56.210,tesla_sensor,model_3,D,MFC2 IAC,COMPLETE,SPT PROCESS,F2_EUNO-9,0,0,Wiper Blades,CHAdeMo,9,"09","00.0Sec","491dd8c0-1e91-4cdb-a3ba-643d8240f93e"
2024-01-04 14:38:56.210,tesla_sensor,model_3,D,PRCS1 PS,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","",b0ac0298-34e5-4467-8a3f-303c3a48f81f
2024-01-04 14:39:18.340,tesla_sensor,model_3,D,RF2 PS,COMPLETE,SPT PROCESS,F2_EUNO-9,0,0,Wiper Blades,CHAdeMo,9,"09","00.0Sec",a3a9c96d-9131-4565-bb21-c8eae125f6f6
2024-01-04 14:39:43.340,tesla_sensor,model_3,R,STEP,R-STEP END,SPT PROCESS,F2_EUNO-9,6,0,Wiper Blades,CHAdeMo,9,"09",STEP06,"43d86e37-7fd4-4dce-8316-9e4c7adbb5df"
2024-01-04 14:39:43.340,tesla_sensor,model_3,R,STEP,R-STEP START,SPT PROCESS,F2_EUNO-9,7,0,Wiper Blades,CHAdeMo,9,"09",STEP07,"2ae83db9-5073-453e-a33b-0365432bd209"
2024-01-04 14:39:43.340,tesla_sensor,model_3,D,PRCS1 PS,OFF,SPT PROCESS,F2_EUNO-9,0,0,Wiper Blades,CHAdeMo,9,"09","","6d628858-9b9d-40b0-bd77-2d94d230b87a"
2024-01-04 14:39:51.600,tesla_sensor,model_3,D,RF2 PS,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","",d74a763c-af0e-4696-87ce-7508f6dea498
2024-01-04 14:39:51.610,tesla_sensor,model_3,D,ESC,AUTO EXIT,ESC CONTROL,"",0,0,Wiper Blades,"",0,"","",d1c148b3-c869-46b7-a2a4-3a1c5abe8dce
2024-01-04 14:39:51.620,tesla_sensor,model_3,D,ESC PLUS,ON,ESC CONTROL,F2_EUNO-9,0,0,Wiper Blades,CHAdeMo,9,"09","",c8b27006-3248-440a-98ec-294c3e811882
2024-01-04 14:39:51.630,tesla_sensor,model_3,D,ESC PLUS,COMPLETE,ESC CONTROL,F2_EUNO-9,0,0,Wiper Blades,CHAdeMo,9,"09","00.0Sec","5ceec1e0-acc5-4563-80af-cd615024a999"
2024-01-04 14:39:52.600,tesla_sensor,model_3,R,STEP,R-STEP END,SPT PROCESS,F2_EUNO-9,9,0,Wiper Blades,CHAdeMo,9,"09",STEP09,"9bf48a0e-8c9c-4aa8-9efd-ceb83260475c"
2024-01-04 14:42:42.470,tesla_sensor,model_3,D,ESC,AUTO EXIT,ESC CONTROL,"",0,0,Wiper Blades,"",0,"","","3c6a352f-f6fe-4949-9a89-15b9dfa9bb03"
2024-01-04 14:42:42.470,tesla_sensor,model_3,D,ASST INLETV,AUTO EXIT,ASST GAS CTRL,"",0,0,Wiper Blades,"",0,"","",ef52dd88-95e9-47b5-9d40-709aa60d1463
2024-01-04 14:42:42.470,tesla_sensor,model_3,D,ASST CTRL,ON,ASST GAS CTRL,F2_EUNO-10,0,0,Wiper Blades,CHAdeMo,10,"10","",d2d77849-e275-49a8-8fd2-dc8fffc71d60
2024-01-04 14:44:08.860,tesla_sensor,model_3,D,GAS2 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","383523ad-3d8a-48f5-a37f-005ad2bb9760"
2024-01-04 14:44:08.860,tesla_sensor,model_3,D,MFC3 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","",c9f9c7bb-2a53-448a-aeb7-1d139a2bd58e
2024-01-04 14:44:08.860,tesla_sensor,model_3,D,GAS3 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","88693c79-402f-4157-83a8-84cd4a2c9138"
2024-01-04 14:44:08.870,tesla_sensor,model_3,D,PRCS1 PS,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","0cc87eb6-7fb4-42f4-b3d2-4054886f904e"
2024-01-04 14:44:08.870,tesla_sensor,model_3,D,PRCS TRIGGER,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","0692be94-86bd-48a0-ab7d-713d02dec366"
2024-01-04 14:44:08.920,tesla_sensor,model_3,D,PRCS1 PS,AUTO EXIT,PROCESS,"",0,0,Wiper Blades,"",0,"","",e2db7140-52a9-481c-a8b3-9970b28aa912
2024-01-04 14:44:15.450,tesla_sensor,model_3,D,LIFTER,DOWN,UNLOAD,"",0,0,"","",0,"","","48753f16-1869-4457-88ef-b82abb5b2018"
2024-01-04 14:42:42.470,tesla_sensor,model_3,D,ASST CTRL,COMPLETE,ASST GAS CTRL,F2_EUNO-10,0,0,Wiper Blades,CHAdeMo,10,"10","00.0Sec",c98cb1ff-e3a2-4a71-83ee-59d03709217b
2024-01-04 14:42:47.460,tesla_sensor,model_3,R,STEP,R-STEP END,SPT PROCESS,F2_EUNO-10,2,0,Wiper Blades,CHAdeMo,10,"10",STEP02,"506fa9cc-eea4-4ee5-a03d-65e6972402d9"
2024-01-04 14:42:47.460,tesla_sensor,model_3,R,STEP,R-STEP START,SPT PROCESS,F2_EUNO-10,3,0,Wiper Blades,CHAdeMo,10,"10",STEP03,d225e34a-be0a-4361-a041-612da44469a6
2024-01-04 14:42:47.470,tesla_sensor,model_3,D,PRCS1 PS,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","8a911856-1d34-450b-ba32-3fe36dbf11bd"
2024-01-04 14:43:50.640,tesla_sensor,model_3,D,ASST CTRLV,CLOSE,ASST GAS OUT,F2_EUNO-10,0,0,Wiper Blades,CHAdeMo,10,"10","","9e26d225-e572-41c1-9851-0452eb19272e"
2024-01-04 14:43:50.640,tesla_sensor,model_3,D,ASST CTRLV,COMPLETE,ASST GAS OUT,F2_EUNO-10,0,0,Wiper Blades,CHAdeMo,10,"10","00.0Sec",a2b1ea61-1b42-4ed7-b994-4709b381dc79
2024-01-04 14:44:08.840,tesla_sensor,model_3,R,STEP,R-STEP END,SPT PROCESS,F2_EUNO-10,10,0,Wiper Blades,CHAdeMo,10,"10",STEP10,"66b8b8b7-2d06-411b-a118-024d3520687f"
2024-01-04 14:44:08.850,tesla_sensor,model_3,D,MFC1 MVC,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","",c70205c8-5701-44d3-994f-bd6703c1032a
2024-01-04 14:44:08.850,tesla_sensor,model_3,D,MFC2 MVC,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","09d44046-dc40-4acb-b338-8da44b2646da"
2024-01-04 14:44:08.850,tesla_sensor,model_3,D,MFC3 MVC,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","",b98ebc59-2c26-4bbe-99d0-bbde142c4255
2024-01-04 14:46:58.160,tesla_sensor,model_3,D,ASST TMP PUMPV,COMPLETE,ASST GAS CTRL,F2_EUNO-11,0,0,Wiper Blades,CHAdeMo,11,"11","00.0Sec",af905daa-9074-4682-bd9b-74c80a3bdb1a
2024-01-04 14:46:58.180,tesla_sensor,model_3,D,ESC,AUTO EXIT,ESC CONTROL,"",0,0,Wiper Blades,"",0,"","","4805e43b-f95e-4285-a260-0b9ee62cb650"
2024-01-04 14:46:58.180,tesla_sensor,model_3,D,ASST INLETV,AUTO EXIT,ASST GAS CTRL,"",0,0,Wiper Blades,"",0,"","","11a6cdb3-a0bb-4b54-8401-d95615187e03"
2024-01-04 14:46:58.180,tesla_sensor,model_3,D,ASST CTRL,ON,ASST GAS CTRL,F2_EUNO-11,0,0,Wiper Blades,CHAdeMo,11,"11","","6da40bda-26cc-495e-8f3f-f88e30a6e25e"
2024-01-04 14:46:58.180,tesla_sensor,model_3,D,ASST CTRL,COMPLETE,ASST GAS CTRL,F2_EUNO-11,0,0,Wiper Blades,CHAdeMo,11,"11","00.0Sec","5c47001a-8a30-4605-8857-033a6f14f9e0"
2024-01-04 14:47:03.170,tesla_sensor,model_3,R,STEP,R-STEP END,SPT PROCESS,F2_EUNO-11,2,0,Wiper Blades,CHAdeMo,11,"11",STEP02,de758961-8178-4a17-83ef-4c008e6f0a39
2024-01-04 14:47:40.330,tesla_sensor,model_3,D,SHIELD,UP,SPT PROCESS,F2_EUNO-11,0,0,Wiper Blades,CHAdeMo,11,"11","",d8874b2a-a687-4e57-978b-c1c76bfd9fa3
2024-01-04 14:47:41.330,tesla_sensor,model_3,R,STEP,R-STEP END,SPT PROCESS,F2_EUNO-11,7,0,Wiper Blades,CHAdeMo,11,"11",STEP07,af09184f-376c-4e60-991b-a3fc85257efa
2024-01-04 14:47:41.330,tesla_sensor,model_3,R,STEP,R-STEP START,SPT PROCESS,F2_EUNO-11,8,0,Wiper Blades,CHAdeMo,11,"11",STEP08,"5193efee-69ae-4d26-90df-8bde64eca918"
2024-01-04 14:47:41.340,tesla_sensor,model_3,D,MFC1 MVC,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","",d764be44-2b7b-4080-a6c4-8d24aa8c4463
2024-01-04 14:47:41.340,tesla_sensor,model_3,D,MFC2 MVC,ON,SPT PROCESS,F2_EUNO-11,0,0,Wiper Blades,CHAdeMo,11,"11","",bbe7877d-32ae-4e9b-9a18-5e43f8b16ca4
2024-01-04 14:47:49.540,tesla_sensor,model_3,D,PRCS1 PS,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","6282ed72-5334-476b-889d-e4e6a7b7e795"
2024-01-04 14:47:49.540,tesla_sensor,model_3,D,RF2 PS,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","2a7befcc-2439-4dca-9e75-9c8ae06e5b9b"
2024-01-04 14:47:49.550,tesla_sensor,model_3,D,ESC RELEASE,ON,ESC CONTROL,F2_EUNO-11,0,0,Wiper Blades,CHAdeMo,11,"11","","2b4bce5c-0cde-49f5-84b2-2a1ca9b894eb"
2024-01-04 14:47:49.560,tesla_sensor,model_3,D,ESC RELEASE,COMPLETE,ESC CONTROL,F2_EUNO-11,0,0,Wiper Blades,CHAdeMo,11,"11","00.0Sec",ad6596ca-30c5-49d7-b3bc-80380356fe53
2024-01-04 14:50:32.200,tesla_sensor,model_3,D,LIFTER,COMPLETE,LOAD,F2_EUNO-12,0,2800,Wiper Blades,CHAdeMo,12,"12","02.8Sec","6a46ad7e-bfa9-4140-9a11-fb7e22013ff6"
2024-01-04 14:50:32.210,tesla_sensor,model_3,D,ASST LINE PUMP,CLOSE,PROCESS,F2_EUNO-12,0,0,Wiper Blades,CHAdeMo,12,"12","","7f9bfe84-2c8b-4c54-81fc-c1847c8f6504"
2024-01-04 14:50:32.220,tesla_sensor,model_3,D,LIFTER,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","48cb634e-71e6-4e1e-a84a-4a249ab74d6a"
2024-01-04 14:50:39.290,tesla_sensor,model_3,D,ASST CTRL,ON,ASST GAS CTRL,F2_EUNO-12,0,0,Wiper Blades,CHAdeMo,12,"12","","13a07f24-35aa-4f38-a5f5-1b4d500eacfd"
2024-01-04 14:51:47.450,tesla_sensor,model_3,D,ASST CTRLV,CLOSE,ASST GAS OUT,F2_EUNO-12,0,0,Wiper Blades,CHAdeMo,12,"12","",ffa203d5-a979-4938-8cd5-0e6f7b075019
2024-01-04 14:51:47.450,tesla_sensor,model_3,D,ASST CTRLV,COMPLETE,ASST GAS OUT,F2_EUNO-12,0,0,Wiper Blades,CHAdeMo,12,"12","00.0Sec","929c9df4-7496-457d-a819-cc21115f1569"
2024-01-04 14:51:47.450,tesla_sensor,model_3,D,MFC1 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","3abc5772-e14e-4f77-9a7a-3dc2be6edd30"
2024-01-04 14:51:47.450,tesla_sensor,model_3,D,GAS1 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","",ac85be8f-2e2e-40ad-8a02-6054c79c7631
2024-01-04 14:51:47.450,tesla_sensor,model_3,D,MFC2 INLETV,CLOSE,SPT PROCESS,F2_EUNO-12,0,0,Wiper Blades,CHAdeMo,12,"12","","6d93cfbb-9604-42ac-b12b-4ba469297045"
2024-01-04 14:52:15.100,tesla_sensor,model_3,D,LIFTER,COMPLETE,UNLOAD,"",0,2800,"","",0,"","02.8Sec","34e0b6d6-e6c1-40b1-9fe3-c1d07e0ad58b"
2024-01-04 14:54:35.740,tesla_sensor,model_3,D,LIFTER,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","",c9791d13-bbb3-493b-ab47-03af7070ccae
2024-01-04 14:54:35.740,tesla_sensor,model_3,D,CTHD WTR OUTV,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","6c9ee042-1792-4a16-bcc3-7a524b1fecb1"
2024-01-04 14:54:35.750,tesla_sensor,model_3,D,SHIELD,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","",e24c0533-2dd0-4db7-befd-de56d1511bc9
2024-01-04 14:54:35.750,tesla_sensor,model_3,D,CTHD WTR INV,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","",a2ee7525-c96d-4c89-8d4b-90487f55596a
2024-01-04 14:54:35.750,tesla_sensor,model_3,D,MAGNET,AUTO EXIT,MAG POS CONTROL,"",0,0,Wiper Blades,"",0,"","","5b1f26b3-cb02-46f5-93c1-56554fd8d207"
2024-01-04 14:54:52.410,tesla_sensor,model_3,D,ASST CTRL,ON,ASST GAS CTRL,F2_EUNO-13,0,0,Wiper Blades,CHAdeMo,13,"13","",ed657086-1305-405f-a356-80052a8c72e5
2024-01-04 14:54:52.410,tesla_sensor,model_3,D,ASST CTRL,COMPLETE,ASST GAS CTRL,F2_EUNO-13,0,0,Wiper Blades,CHAdeMo,13,"13","00.0Sec","5f5707da-6659-408c-b220-86a1f63153ff"
2024-01-04 14:54:57.410,tesla_sensor,model_3,R,STEP,R-STEP END,SPT PROCESS,F2_EUNO-13,2,0,Wiper Blades,CHAdeMo,13,"13",STEP02,be77b389-b5a0-4da3-82da-45faf48e5b26
2024-01-04 14:54:57.410,tesla_sensor,model_3,R,STEP,R-STEP START,SPT PROCESS,F2_EUNO-13,3,0,Wiper Blades,CHAdeMo,13,"13",STEP03,ec2edab1-5add-46e2-a357-cc5ccd0c4526
2024-01-04 14:54:57.420,tesla_sensor,model_3,D,PRCS1 PS,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","5f4033c8-de5c-452f-a6a5-604de8797004"
2024-01-04 14:54:57.420,tesla_sensor,model_3,D,RF2 PS,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","08ab7234-85ab-4080-b10c-0b3c437db17f"
2024-01-04 14:55:07.420,tesla_sensor,model_3,R,STEP,R-STEP END,SPT PROCESS,F2_EUNO-13,3,0,Wiper Blades,CHAdeMo,13,"13",STEP03,"65ff39b6-1ba0-458c-bbb6-0f9d7ebad58f"
2024-01-04 14:55:07.420,tesla_sensor,model_3,R,STEP,R-STEP START,SPT PROCESS,F2_EUNO-13,4,0,Wiper Blades,CHAdeMo,13,"13",STEP04,afad2979-75cd-4346-9ead-26552e5e3da7
2024-01-04 14:55:35.580,tesla_sensor,model_3,D,ASST CTRLV,CLOSE,ASST GAS OUT,F2_EUNO-13,0,0,Wiper Blades,CHAdeMo,13,"13","","21b2f89a-2862-4301-b3cc-0b9aba8e7fc9"
2024-01-04 14:55:35.580,tesla_sensor,model_3,D,ASST CTRLV,COMPLETE,ASST GAS OUT,F2_EUNO-13,0,0,Wiper Blades,CHAdeMo,13,"13","00.0Sec","968adb63-2cb6-4d9a-91f7-f672240ce27d"
2024-01-04 14:55:35.580,tesla_sensor,model_3,D,MFC1 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","",e3505e3a-43de-48bd-b17b-1aeb251193e7
2024-01-04 14:55:35.580,tesla_sensor,model_3,D,GAS1 INLETV,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","6beab986-e327-42eb-af8b-31705d3d841a"
2024-01-04 14:55:35.580,tesla_sensor,model_3,D,MFC2 INLETV,CLOSE,SPT PROCESS,F2_EUNO-13,0,0,Wiper Blades,CHAdeMo,13,"13","","84bcf205-a726-4571-bd77-5970fb8f77b8"
2024-01-04 14:55:35.580,tesla_sensor,model_3,D,MFC2 INLETV,COMPLETE,SPT PROCESS,F2_EUNO-13,0,0,Wiper Blades,CHAdeMo,13,"13","00.0Sec","96e8e417-c523-49aa-9c3c-bb27b8c804dd"
2024-01-04 14:55:35.580,tesla_sensor,model_3,D,GAS2 INLETV,CLOSE,SPT PROCESS,F2_EUNO-13,0,0,Wiper Blades,CHAdeMo,13,"13","","445115aa-564f-4a3a-ba94-70ce7c463760"
2024-01-04 14:55:35.580,tesla_sensor,model_3,D,GAS2 INLETV,COMPLETE,SPT PROCESS,F2_EUNO-13,0,0,Wiper Blades,CHAdeMo,13,"13","00.0Sec",a2979239-af0f-4111-b941-b73ed4036d93
2024-01-04 14:55:53.860,tesla_sensor,model_3,D,PRCS1 PS,AUTO EXIT,PROCESS,"",0,0,Wiper Blades,"",0,"","","435537ba-c6ef-4b40-8fda-833a292eb877"
2024-01-04 14:58:38.520,tesla_sensor,model_3,R,STEP,R-STEP START,SPT PROCESS,F2_EUNO-14,3,0,Wiper Blades,CHAdeMo,14,"14",STEP03,"1c749207-f91d-4d60-b5e1-a550225e1416"
2024-01-04 14:58:38.530,tesla_sensor,model_3,D,PRCS1 PS,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","509457a0-3c3b-4101-8cd7-3d444fca3b80"
2024-01-04 14:58:38.530,tesla_sensor,model_3,D,RF2 PS,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","",a3d98df6-f5e7-408d-8f8e-5593a9fbc98b
2024-01-04 14:58:48.530,tesla_sensor,model_3,R,STEP,R-STEP END,SPT PROCESS,F2_EUNO-14,3,0,Wiper Blades,CHAdeMo,14,"14",STEP03,"32aee445-a80c-4ce7-beda-c1cd418d5f1e"
2024-01-04 14:58:48.530,tesla_sensor,model_3,R,STEP,R-STEP START,SPT PROCESS,F2_EUNO-14,4,0,Wiper Blades,CHAdeMo,14,"14",STEP04,"7a4d9225-b64c-4ae0-8d1d-122cc375e703"
2024-01-04 14:58:48.540,tesla_sensor,model_3,D,PRCS1 PS,ON,SPT PROCESS,F2_EUNO-14,0,0,Wiper Blades,CHAdeMo,14,"14","",a0932bd0-66d5-4398-9fd9-a7ca07847066
2024-01-04 14:58:48.540,tesla_sensor,model_3,D,RF2 PS,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","14c0317d-f86a-4d85-abb8-2f7f86b294f5"
2024-01-04 14:59:41.700,tesla_sensor,model_3,D,MFC2 INLETV,CLOSE,SPT PROCESS,F2_EUNO-14,0,0,Wiper Blades,CHAdeMo,14,"14","","3acb87c1-54f6-464b-a347-ec70a13d388c"
2024-01-04 14:59:41.700,tesla_sensor,model_3,D,MFC2 INLETV,COMPLETE,SPT PROCESS,F2_EUNO-14,0,0,Wiper Blades,CHAdeMo,14,"14","00.0Sec","714708a9-f726-46cc-b974-337bb51745ee"
